station,dhp,codeTaxa
E06,17.9,BBPA
E07,20.1,BARU
E07,10.9,BBPA
E08,24.9,AASA
E09,15.3,BARU
E10,21.9,AASA
E11,28.9,AASA
E11,14.5,BBPA
E12,38,AASA
E12,27.1,BBPA
A01,19.7,BTOC
A02,12.5,BBPA
A02,33.7,BPGR
A03,19,BBPA
A04,10.5,BARU
A04,20.6,BBPA
A05,31.1,BBPA
A06,10.1,BBPA
A07,13.4,AASA
A07,29.4,BBPA
A08,22.7,AASA
A09,10.8,AASA
A10,22.2,AASA
A11,19,AASA
A12,27.4,BBPA
B00,15.9,APST
B00,12,BBPA
B00,10.7,BTOC
B01,12.6,BBPA
B01,12.1,BTOC
B02,20.2,BBPA
B03,18.5,BBPA
B03,12.3,BPGR
B04,10.2,BBPA
B04,17.3,AASA
B05,17.1,BBPA
B06,16.2,BARU
B06,19.5,BBPA
B07,21.2,AASA
B08,14,AASA
B09,23.1,AASA
B10,11,AASA
B11,18.2,BBPA
C01,13.7,BBPA
C02,20.9,APST
C02,25.3,BPGR
C03,31.95,APST
C03,14.3,BBPA
C04,19.9,BBPA
C05,24.1,BPGR
C06,16.1,BBPA
C07,13.3,AASA
C07,24,BBPA
C08,23.2,AASA
C09,14.3,AASA
C09,22.3,BBPA
C10,15.7,AASA
C11,14.8,AASA
C12,13,AASA
D01,17.6,BBPA
D01,20.2,BTOC
D02,34.6,BPGR
D03,18.1,BBPA
D04,21.25,BBPA
D05,16.8,BBPA
D06,17.7,BBPA
D06,27.9,BPGR
D07,10.5,AASA
D08,13.5,AASA
D09,22,AASA
D10,19.5,AASA
E01,19.4,BBPA
E02,13.6,BARU
E02,13,BBPA
E02,26.1,BPGR
E03,12.3,BARU
E03,14.6,BBPA
E04,10.9,BARU
E04,20.2,BBPA
E05,13.2,BARU
E06,12.4,BARU
E06,16.5,BBPA
E07,17.9,BARU
E07,24.1,BBPA
E08,14.4,AASA
E09,18.5,BARU
E10,11.9,AASA
E11,21.8,AASA
E11,24.7,BBPA
E12,20.3,AASA
E12,22.5,BBPA
A01,13.7,BTOC
A02,14.6,BBPA
A02,40.6,BPGR
A03,13.6,BBPA
A04,14.1,BARU
A04,10.3,BBPA
A05,16.8,BBPA
A06,29,BBPA
A07,11.2,AASA
A08,17.4,AASA
A09,14.7,AASA
A10,17.1,AASA
A11,10.6,AASA
A12,16.9,BBPA
B00,17.5,APST
B00,13.6,BTOC
B01,20.9,BBPA
B01,22,BTOC
B02,17.5,BBPA
B03,19.1,BBPA
B04,13.5,BBPA
B04,13.1,AASA
B05,15.7,BBPA
B06,20.5,BARU
B06,19.9,BBPA
B07,16.9,AASA
B08,14.7,AASA
B09,25.5,AASA
B10,19.9,AASA
B11,25,BBPA
C01,17.7,BBPA
C02,11.5,APST
C02,21.4,BPGR
C03,14,BBPA
C04,17.9,BBPA
C05,35.1,BPGR
C06,16.2,BBPA
C07,13.3,AASA
C07,25.9,BBPA
C08,19.6,AASA
C09,10,AASA
C09,16.7,BBPA
C10,11.5,AASA
C11,21.6,AASA
C12,26.4,AASA
D01,12.7,BBPA
D01,12.3,BTOC
D02,36.7,BPGR
D03,17.8,BBPA
D04,19,BBPA
D05,26.7,BBPA
D06,16.7,BBPA
D06,32.3,BPGR
D07,20.4,AASA
D08,10.2,AASA
D09,18.5,AASA
D10,17.3,AASA
E01,10.2,BBPA
E02,20.6,BBPA
E02,23.7,BPGR
E03,13.6,BARU
E03,18.8,BBPA
E04,13.5,BARU
E04,16.2,BBPA
E05,15.9,BARU
E06,11.2,BARU
E06,20,BBPA
E07,12.8,BARU
E07,17.5,BBPA
E08,17.6,AASA
E10,11.2,AASA
E11,11.8,AASA
E12,14,AASA
E12,24.2,BBPA
A01,12.6,BTOC
A02,18.8,BBPA
A03,14,BBPA
A04,24.75,BARU
A04,21.3,BBPA
A05,32.5,BBPA
A06,16.9,BBPA
A07,20.5,AASA
A08,18.25,AASA
A09,15.7,AASA
A10,16.4,AASA
A11,11.4,AASA
A12,21,BBPA
B00,29.5,APST
B00,11,BTOC
B01,16.7,BBPA
B01,11,BTOC
B02,13.5,BBPA
B03,13.4,BBPA
B04,20.9,BBPA
B05,15,BBPA
B06,14.3,BARU
B06,13.5,BBPA
B07,17.1,AASA
B08,11.5,AASA
B09,17.9,AASA
B10,11,AASA
B11,18.5,BBPA
C01,10.9,BBPA
C02,16.5,APST
C02,17,BPGR
C03,16.15,BBPA
C04,19.9,BBPA
C05,30.9,BPGR
C06,14.3,BBPA
C07,13.4,AASA
C07,27.1,BBPA
C08,23.8,AASA
C09,10.4,AASA
C10,13.2,AASA
C11,22.7,AASA
C12,21.5,AASA
D01,19.4,BBPA
D01,12.5,BTOC
D02,25.7,BPGR
D03,14.4,BBPA
D04,18,BBPA
D05,17.7,BBPA
D06,17.6,BBPA
D06,25.5,BPGR
D07,33.2,AASA
D08,20.4,AASA
D09,14.3,AASA
D10,27.9,AASA
E01,14.1,BBPA
E02,22.2,BBPA
E02,23.2,BPGR
E03,14.5,BBPA
E04,10.2,BARU
E04,18,BBPA
E06,21.2,BBPA
E07,10.5,BBPA
E08,10.2,AASA
